time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-10 00:00:00+00:00,8,5,,
2024-04-11 00:00:00+00:00,7,5,55.0,5.0
2024-04-12 00:00:00+00:00,7,4,2.0,1.0
2024-04-13 00:00:00+00:00,7,4,,
2024-04-14 00:00:00+00:00,7,5,,
2024-04-15 00:00:00+00:00,10,8,,
2024-04-16 00:00:00+00:00,6,4,2.0,2.0
2024-04-17 00:00:00+00:00,11,8,,
2024-04-18 00:00:00+00:00,6,4,,
2024-04-19 00:00:00+00:00,7,4,24.0,3.0
2024-04-20 00:00:00+00:00,33,12,9.0,1.0
2024-04-21 00:00:00+00:00,17,7,14.0,2.0
2024-04-22 00:00:00+00:00,6,4,,
2024-04-23 00:00:00+00:00,8,5,,
