time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-23 00:00:00+00:00,3,1,6.0,1.0
2024-07-24 00:00:00+00:00,1,1,,
2024-07-25 00:00:00+00:00,1,1,,
2024-07-26 00:00:00+00:00,1,1,1.0,1.0
2024-07-27 00:00:00+00:00,2,1,,
2024-07-28 00:00:00+00:00,1,1,,
2024-07-29 00:00:00+00:00,2,2,,
2024-07-30 00:00:00+00:00,1,1,,
2024-07-31 00:00:00+00:00,1,1,,
2024-08-01 00:00:00+00:00,1,1,,
2024-08-02 00:00:00+00:00,1,1,,
2024-08-03 00:00:00+00:00,2,1,1.0,1.0
2024-08-04 00:00:00+00:00,1,1,,
2024-08-05 00:00:00+00:00,1,1,7.0,1.0
