time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-09 00:00:00+00:00,8,1,,
2024-11-10 00:00:00+00:00,8,1,,
2024-11-11 00:00:00+00:00,8,1,,
2024-11-12 00:00:00+00:00,8,1,,
2024-11-13 00:00:00+00:00,8,1,,
2024-11-14 00:00:00+00:00,8,1,,
2024-11-15 00:00:00+00:00,9,1,,
2024-11-16 00:00:00+00:00,9,2,,
2024-11-17 00:00:00+00:00,8,1,,
2024-11-18 00:00:00+00:00,8,1,1.0,1.0
2024-11-19 00:00:00+00:00,9,2,,
2024-11-20 00:00:00+00:00,15,3,,
2024-11-21 00:00:00+00:00,8,1,1.0,1.0
2024-11-22 00:00:00+00:00,9,1,,
