time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-26 00:00:00+00:00,3,1,0,0
2026-06-27 00:00:00+00:00,38,5,0,0
2026-06-28 00:00:00+00:00,0,0,1,1
2026-06-29 00:00:00+00:00,1,1,1,1
2026-06-30 00:00:00+00:00,0,0,0,0
2026-07-01 00:00:00+00:00,1,1,1,1
2026-07-02 00:00:00+00:00,7,2,0,0
2026-07-03 00:00:00+00:00,65,1,0,0
2026-07-04 00:00:00+00:00,0,0,0,0
2026-07-05 00:00:00+00:00,2,2,0,0
2026-07-06 00:00:00+00:00,0,0,0,0
2026-07-07 00:00:00+00:00,1,1,2,2
2026-07-08 00:00:00+00:00,5,3,1,1
2026-07-09 00:00:00+00:00,0,0,0,0
