time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-09 00:00:00+00:00,1,1,0,0
2026-03-10 00:00:00+00:00,0,0,0,0
2026-03-11 00:00:00+00:00,0,0,0,0
2026-03-12 00:00:00+00:00,0,0,0,0
2026-03-13 00:00:00+00:00,3,3,0,0
2026-03-14 00:00:00+00:00,2,2,0,0
2026-03-15 00:00:00+00:00,1,1,0,0
2026-03-16 00:00:00+00:00,1,1,0,0
2026-03-17 00:00:00+00:00,2,2,1,1
2026-03-18 00:00:00+00:00,0,0,0,0
2026-03-19 00:00:00+00:00,1,1,0,0
2026-03-20 00:00:00+00:00,1,1,0,0
2026-03-21 00:00:00+00:00,0,0,0,0
2026-03-22 00:00:00+00:00,1,1,0,0
