time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-09 00:00:00+00:00,9,2,3.0,2.0
2024-09-10 00:00:00+00:00,9,2,,
2024-09-11 00:00:00+00:00,8,1,,
2024-09-12 00:00:00+00:00,8,1,,
2024-09-13 00:00:00+00:00,9,1,,
2024-09-14 00:00:00+00:00,10,3,,
2024-09-15 00:00:00+00:00,8,1,,
2024-09-16 00:00:00+00:00,11,4,,
2024-09-17 00:00:00+00:00,10,2,,
2024-09-18 00:00:00+00:00,11,4,,
2024-09-19 00:00:00+00:00,8,1,,
2024-09-20 00:00:00+00:00,9,1,3.0,1.0
2024-09-21 00:00:00+00:00,10,2,1.0,1.0
2024-09-22 00:00:00+00:00,8,1,,
