time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-15 00:00:00+00:00,18.0,8.0,,
2025-10-16 00:00:00+00:00,2.0,2.0,,
2025-10-17 00:00:00+00:00,8.0,6.0,,
2025-10-18 00:00:00+00:00,2.0,1.0,,
2025-10-19 00:00:00+00:00,12.0,5.0,,
2025-10-20 00:00:00+00:00,10.0,8.0,,
2025-10-21 00:00:00+00:00,6.0,3.0,,
2025-10-22 00:00:00+00:00,12.0,7.0,6.0,5.0
2025-10-23 00:00:00+00:00,3.0,3.0,,
2025-10-24 00:00:00+00:00,1.0,1.0,,
2025-10-25 00:00:00+00:00,2.0,1.0,,
2025-10-26 00:00:00+00:00,1.0,1.0,,
2025-10-27 00:00:00+00:00,2.0,2.0,,
2025-10-28 00:00:00+00:00,,,3.0,1.0
