time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-02 00:00:00+00:00,5,2,,
2025-05-03 00:00:00+00:00,4,1,,
2025-05-04 00:00:00+00:00,6,2,,
2025-05-05 00:00:00+00:00,5,2,3.0,2.0
2025-05-06 00:00:00+00:00,4,1,2.0,2.0
2025-05-07 00:00:00+00:00,4,1,1.0,1.0
2025-05-08 00:00:00+00:00,6,3,1.0,1.0
2025-05-09 00:00:00+00:00,4,1,,
2025-05-10 00:00:00+00:00,4,1,,
2025-05-11 00:00:00+00:00,5,1,,
2025-05-12 00:00:00+00:00,5,2,,
2025-05-13 00:00:00+00:00,4,1,,
2025-05-14 00:00:00+00:00,5,2,,
2025-05-15 00:00:00+00:00,4,1,,
