time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-03 00:00:00+00:00,0,0,0,0
2026-09-04 00:00:00+00:00,0,0,0,0
2026-09-05 00:00:00+00:00,0,0,0,0
2026-09-06 00:00:00+00:00,0,0,0,0
2026-09-07 00:00:00+00:00,0,0,0,0
2026-09-08 00:00:00+00:00,0,0,0,0
2026-09-09 00:00:00+00:00,0,0,0,0
2026-09-10 00:00:00+00:00,0,0,0,0
2026-09-11 00:00:00+00:00,0,0,0,0
2026-09-12 00:00:00+00:00,0,0,0,0
2026-09-13 00:00:00+00:00,0,0,0,0
2026-09-14 00:00:00+00:00,0,0,0,0
2026-09-15 00:00:00+00:00,0,0,0,0
2026-09-16 00:00:00+00:00,0,0,0,0
