time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,0,0,0,0
2026-04-12 00:00:00+00:00,1,1,0,0
2026-04-13 00:00:00+00:00,3,3,0,0
2026-04-14 00:00:00+00:00,0,0,0,0
2026-04-15 00:00:00+00:00,0,0,1,1
2026-04-16 00:00:00+00:00,1,1,0,0
2026-04-17 00:00:00+00:00,0,0,0,0
2026-04-18 00:00:00+00:00,1,1,0,0
2026-04-19 00:00:00+00:00,0,0,0,0
2026-04-20 00:00:00+00:00,33,2,1,1
2026-04-21 00:00:00+00:00,2,1,0,0
2026-04-22 00:00:00+00:00,0,0,0,0
2026-04-23 00:00:00+00:00,1,1,0,0
2026-04-24 00:00:00+00:00,0,0,0,0
