time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-21 00:00:00+00:00,40,17,,
2025-02-22 00:00:00+00:00,37,18,,
2025-02-23 00:00:00+00:00,45,17,,
2025-02-24 00:00:00+00:00,37,18,,
2025-02-25 00:00:00+00:00,44,17,,
2025-02-26 00:00:00+00:00,41,17,,
2025-02-27 00:00:00+00:00,41,17,1.0,1.0
2025-02-28 00:00:00+00:00,38,17,,
2025-03-01 00:00:00+00:00,45,16,2.0,1.0
2025-03-02 00:00:00+00:00,38,18,1.0,1.0
2025-03-03 00:00:00+00:00,25,13,,
2025-03-04 00:00:00+00:00,36,16,1.0,1.0
2025-03-05 00:00:00+00:00,34,15,,
2025-03-06 00:00:00+00:00,7,1,1.0,1.0
