time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-02 00:00:00+00:00,10,3,28.0,4.0
2024-03-03 00:00:00+00:00,8,1,24.0,5.0
2024-03-04 00:00:00+00:00,9,2,95.0,10.0
2024-03-05 00:00:00+00:00,8,1,5.0,5.0
2024-03-06 00:00:00+00:00,9,1,22.0,8.0
2024-03-07 00:00:00+00:00,8,1,2.0,2.0
2024-03-08 00:00:00+00:00,8,1,10.0,9.0
2024-03-09 00:00:00+00:00,8,1,16.0,2.0
2024-03-10 00:00:00+00:00,9,2,,
2024-03-11 00:00:00+00:00,15,3,17.0,7.0
2024-03-12 00:00:00+00:00,10,3,48.0,16.0
2024-03-13 00:00:00+00:00,12,2,12.0,11.0
2024-03-14 00:00:00+00:00,9,2,61.0,11.0
2024-03-15 00:00:00+00:00,15,3,11.0,4.0
