time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-16 00:00:00+00:00,8,1,3,3
2023-12-17 00:00:00+00:00,8,1,21,2
2023-12-18 00:00:00+00:00,8,1,18,7
2023-12-19 00:00:00+00:00,8,1,2,2
2023-12-20 00:00:00+00:00,8,1,8,7
2023-12-21 00:00:00+00:00,8,1,79,8
2023-12-22 00:00:00+00:00,8,1,3,3
2023-12-23 00:00:00+00:00,8,1,2,2
2023-12-24 00:00:00+00:00,8,1,4,4
2023-12-25 00:00:00+00:00,8,1,10,5
2023-12-26 00:00:00+00:00,28,6,4,4
2023-12-27 00:00:00+00:00,26,9,48,10
2023-12-28 00:00:00+00:00,8,1,53,6
2023-12-29 00:00:00+00:00,8,1,9,4
