time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-31 00:00:00+00:00,14,1,2,2
2026-02-01 00:00:00+00:00,15,2,2,2
2026-02-02 00:00:00+00:00,15,2,4,4
2026-02-03 00:00:00+00:00,15,2,2,2
2026-02-04 00:00:00+00:00,16,1,9,7
2026-02-05 00:00:00+00:00,14,1,3,3
2026-02-06 00:00:00+00:00,15,2,2,2
2026-02-07 00:00:00+00:00,15,2,0,0
2026-02-08 00:00:00+00:00,14,1,0,0
2026-02-09 00:00:00+00:00,14,1,4,2
2026-02-10 00:00:00+00:00,14,1,5,4
2026-02-11 00:00:00+00:00,16,1,3,3
2026-02-12 00:00:00+00:00,14,1,1,1
2026-02-13 00:00:00+00:00,14,1,1,1
