time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-03 00:00:00+00:00,9,1,21,8
2024-04-04 00:00:00+00:00,12,4,9,7
2024-04-05 00:00:00+00:00,13,3,53,11
2024-04-06 00:00:00+00:00,9,2,123,7
2024-04-07 00:00:00+00:00,9,2,22,9
2024-04-08 00:00:00+00:00,19,2,14,12
2024-04-09 00:00:00+00:00,11,2,34,9
2024-04-10 00:00:00+00:00,9,1,9,8
2024-04-11 00:00:00+00:00,9,2,15,6
2024-04-12 00:00:00+00:00,10,2,3,3
2024-04-13 00:00:00+00:00,8,1,47,3
2024-04-14 00:00:00+00:00,8,1,2,2
2024-04-15 00:00:00+00:00,9,2,11,8
2024-04-16 00:00:00+00:00,18,3,11,6
