time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-12 00:00:00+00:00,14,1,1,1
2026-02-13 00:00:00+00:00,14,1,1,1
2026-02-14 00:00:00+00:00,14,1,0,0
2026-02-15 00:00:00+00:00,14,1,4,3
2026-02-16 00:00:00+00:00,15,2,1,1
2026-02-17 00:00:00+00:00,14,1,3,3
2026-02-18 00:00:00+00:00,16,1,3,3
2026-02-19 00:00:00+00:00,15,2,2,2
2026-02-20 00:00:00+00:00,14,1,0,0
2026-02-21 00:00:00+00:00,15,2,0,0
2026-02-22 00:00:00+00:00,16,3,1,1
2026-02-23 00:00:00+00:00,15,2,0,0
2026-02-24 00:00:00+00:00,14,1,6,1
2026-02-25 00:00:00+00:00,17,2,20,3
