time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-07 00:00:00+00:00,1.0,1.0,9,1
2024-09-08 00:00:00+00:00,10.0,7.0,15,12
2024-09-10 00:00:00+00:00,1.0,1.0,1,1
2024-09-11 00:00:00+00:00,2.0,2.0,15,3
2024-09-12 00:00:00+00:00,,,11,3
2024-09-13 00:00:00+00:00,,,14,5
2024-09-14 00:00:00+00:00,2.0,2.0,3,2
2024-09-16 00:00:00+00:00,,,1,1
2024-09-17 00:00:00+00:00,,,6,1
2024-09-18 00:00:00+00:00,2.0,2.0,107,1
2024-09-19 00:00:00+00:00,1.0,1.0,9,2
2024-09-20 00:00:00+00:00,4.0,4.0,28,3
