time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-15 00:00:00+00:00,1.0,1.0,13.0,4.0
2025-10-16 00:00:00+00:00,1.0,1.0,,
2025-10-17 00:00:00+00:00,1.0,1.0,17.0,3.0
2025-10-18 00:00:00+00:00,,,1.0,1.0
2025-10-19 00:00:00+00:00,1.0,1.0,1.0,1.0
2025-10-20 00:00:00+00:00,1.0,1.0,1.0,1.0
2025-10-22 00:00:00+00:00,1.0,1.0,1.0,1.0
2025-10-23 00:00:00+00:00,3.0,3.0,16.0,5.0
2025-10-24 00:00:00+00:00,,,4.0,4.0
2025-10-25 00:00:00+00:00,,,19.0,12.0
2025-10-26 00:00:00+00:00,1.0,1.0,5.0,4.0
2025-10-27 00:00:00+00:00,,,1.0,1.0
2025-10-28 00:00:00+00:00,,,2.0,2.0
