time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-02 00:00:00+00:00,3,3,0,0
2026-01-03 00:00:00+00:00,4,4,0,0
2026-01-04 00:00:00+00:00,15,14,17,2
2026-01-05 00:00:00+00:00,3,3,0,0
2026-01-06 00:00:00+00:00,4,4,0,0
2026-01-07 00:00:00+00:00,2,2,0,0
2026-01-08 00:00:00+00:00,4,4,1,1
2026-01-09 00:00:00+00:00,2,2,0,0
2026-01-10 00:00:00+00:00,3,3,0,0
2026-01-11 00:00:00+00:00,2,2,0,0
2026-01-12 00:00:00+00:00,3,3,0,0
2026-01-13 00:00:00+00:00,2,2,0,0
2026-01-14 00:00:00+00:00,2,2,1,1
2026-01-15 00:00:00+00:00,2,2,0,0
