time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-23 00:00:00+00:00,3,3,4,1
2026-01-24 00:00:00+00:00,2,2,0,0
2026-01-25 00:00:00+00:00,2,2,0,0
2026-01-26 00:00:00+00:00,3,3,0,0
2026-01-27 00:00:00+00:00,6,3,1,1
2026-01-28 00:00:00+00:00,2,2,0,0
2026-01-29 00:00:00+00:00,2,2,0,0
2026-01-30 00:00:00+00:00,2,2,0,0
2026-01-31 00:00:00+00:00,2,2,0,0
2026-02-01 00:00:00+00:00,3,3,0,0
2026-02-02 00:00:00+00:00,2,2,0,0
2026-02-03 00:00:00+00:00,2,2,0,0
2026-02-04 00:00:00+00:00,2,2,0,0
2026-02-05 00:00:00+00:00,2,2,0,0
