time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-25 00:00:00+00:00,35,10,0,0
2026-04-26 00:00:00+00:00,147,15,6,2
2026-04-27 00:00:00+00:00,6,6,1,1
2026-04-28 00:00:00+00:00,3,3,0,0
2026-04-29 00:00:00+00:00,4,4,1,1
2026-04-30 00:00:00+00:00,3,3,2,2
2026-05-01 00:00:00+00:00,3,3,1,1
2026-05-02 00:00:00+00:00,3,3,0,0
2026-05-03 00:00:00+00:00,21,5,0,0
2026-05-04 00:00:00+00:00,4,4,2,1
2026-05-05 00:00:00+00:00,1,1,0,0
2026-05-06 00:00:00+00:00,2,2,4,1
2026-05-07 00:00:00+00:00,3,3,0,0
2026-05-08 00:00:00+00:00,5,5,0,0
