time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-27 00:00:00+00:00,611,6,0,0
2026-02-28 00:00:00+00:00,644,7,0,0
2026-03-01 00:00:00+00:00,660,16,0,0
2026-03-02 00:00:00+00:00,578,5,0,0
2026-03-03 00:00:00+00:00,610,5,0,0
2026-03-04 00:00:00+00:00,579,6,0,0
2026-03-05 00:00:00+00:00,547,6,1,1
2026-03-06 00:00:00+00:00,610,5,0,0
2026-03-07 00:00:00+00:00,610,5,0,0
2026-03-08 00:00:00+00:00,560,12,0,0
2026-03-09 00:00:00+00:00,610,5,0,0
2026-03-10 00:00:00+00:00,1151,62,1,1
2026-03-11 00:00:00+00:00,995,12,6,2
2026-03-12 00:00:00+00:00,993,10,0,0
