time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-16 00:00:00+00:00,3,3,0,0
2026-04-17 00:00:00+00:00,4,4,1,1
2026-04-18 00:00:00+00:00,3,3,3,3
2026-04-19 00:00:00+00:00,768,87,0,0
2026-04-20 00:00:00+00:00,1342,185,12,1
2026-04-21 00:00:00+00:00,20,10,0,0
2026-04-22 00:00:00+00:00,95,24,1,1
2026-04-23 00:00:00+00:00,24,9,0,0
2026-04-24 00:00:00+00:00,97,28,1,1
2026-04-25 00:00:00+00:00,35,10,0,0
2026-04-26 00:00:00+00:00,147,15,6,2
2026-04-27 00:00:00+00:00,6,6,1,1
2026-04-28 00:00:00+00:00,3,3,0,0
2026-04-29 00:00:00+00:00,4,4,1,1
